Code	Name	Parent_Code	Level
130372000000	北戴河新区	130300000000	4
130401000000	市辖区	130400000000	4
130402000000	邯山区	130400000000	4
130403000000	丛台区	130400000000	4
130404000000	复兴区	130400000000	4
130406000000	峰峰矿区	130400000000	4
130407000000	肥乡区	130400000000	4
130408000000	永年区	130400000000	4
130423000000	临漳县	130400000000	4
130424000000	成安县	130400000000	4
130425000000	大名县	130400000000	4
130426000000	涉县	130400000000	4
130427000000	磁县	130400000000	4
130430000000	邱县	130400000000	4
130431000000	鸡泽县	130400000000	4
130432000000	广平县	130400000000	4
130433000000	馆陶县	130400000000	4
130434000000	魏县	130400000000	4
130435000000	曲周县	130400000000	4
130471000000	邯郸经济技术开发区	130400000000	4
130473000000	邯郸冀南新区	130400000000	4
130481000000	武安市	130400000000	4
130501000000	市辖区	130500000000	4
130502000000	襄都区	130500000000	4
130503000000	信都区	130500000000	4
130505000000	任泽区	130500000000	4
130506000000	南和区	130500000000	4
130522000000	临城县	130500000000	4
130523000000	内丘县	130500000000	4
130524000000	柏乡县	130500000000	4
130525000000	隆尧县	130500000000	4
130528000000	宁晋县	130500000000	4
130529000000	巨鹿县	130500000000	4
130530000000	新河县	130500000000	4
130531000000	广宗县	130500000000	4
130532000000	平乡县	130500000000	4
130533000000	威县	130500000000	4
130534000000	清河县	130500000000	4
130535000000	临西县	130500000000	4
130571000000	河北邢台经济开发区	130500000000	4
130581000000	南宫市	130500000000	4
130582000000	沙河市	130500000000	4
130601000000	市辖区	130600000000	4
130602000000	竞秀区	130600000000	4
130606000000	莲池区	130600000000	4
130607000000	满城区	130600000000	4
130608000000	清苑区	130600000000	4
130609000000	徐水区	130600000000	4
130623000000	涞水县	130600000000	4
130624000000	阜平县	130600000000	4
130626000000	定兴县	130600000000	4
130627000000	唐县	130600000000	4
130628000000	高阳县	130600000000	4
130629000000	容城县	130600000000	4
130630000000	涞源县	130600000000	4
130631000000	望都县	130600000000	4
130632000000	安新县	130600000000	4
130633000000	易县	130600000000	4
130634000000	曲阳县	130600000000	4
130635000000	蠡县	130600000000	4
130636000000	顺平县	130600000000	4
130637000000	博野县	130600000000	4
130638000000	雄县	130600000000	4
130671000000	保定高新技术产业开发区	130600000000	4
130672000000	保定白沟新城	130600000000	4
130681000000	涿州市	130600000000	4
130682000000	定州市	130600000000	4
130683000000	安国市	130600000000	4
130684000000	高碑店市	130600000000	4
130701000000	市辖区	130700000000	4
130702000000	桥东区	130700000000	4
130703000000	桥西区	130700000000	4
130705000000	宣化区	130700000000	4
130706000000	下花园区	130700000000	4
130708000000	万全区	130700000000	4
130709000000	崇礼区	130700000000	4
130722000000	张北县	130700000000	4
130723000000	康保县	130700000000	4
130724000000	沽源县	130700000000	4
130725000000	尚义县	130700000000	4
130726000000	蔚县	130700000000	4
130727000000	阳原县	130700000000	4
130728000000	怀安县	130700000000	4
130730000000	怀来县	130700000000	4
130731000000	涿鹿县	130700000000	4
130732000000	赤城县	130700000000	4
130771000000	张家口经济开发区	130700000000	4
130772000000	张家口市察北管理区	130700000000	4
130773000000	张家口市塞北管理区	130700000000	4
130801000000	市辖区	130800000000	4
130802000000	双桥区	130800000000	4
130803000000	双滦区	130800000000	4
130804000000	鹰手营子矿区	130800000000	4
130821000000	承德县	130800000000	4
130822000000	兴隆县	130800000000	4
130824000000	滦平县	130800000000	4
130825000000	隆化县	130800000000	4
130826000000	丰宁满族自治县	130800000000	4
130827000000	宽城满族自治县	130800000000	4
130828000000	围场满族蒙古族自治县	130800000000	4
130871000000	承德高新技术产业开发区	130800000000	4
130881000000	平泉市	130800000000	4
130901000000	市辖区	130900000000	4
130902000000	新华区	130900000000	4
130903000000	运河区	130900000000	4
130921000000	沧县	130900000000	4
130922000000	青县	130900000000	4
130923000000	东光县	130900000000	4
130924000000	海兴县	130900000000	4
130925000000	盐山县	130900000000	4
130926000000	肃宁县	130900000000	4
130927000000	南皮县	130900000000	4
130928000000	吴桥县	130900000000	4
130929000000	献县	130900000000	4
130930000000	孟村回族自治县	130900000000	4
130971000000	河北沧州经济开发区	130900000000	4
130972000000	沧州高新技术产业开发区	130900000000	4
130973000000	沧州渤海新区	130900000000	4
130981000000	泊头市	130900000000	4
130982000000	任丘市	130900000000	4
130983000000	黄骅市	130900000000	4
130984000000	河间市	130900000000	4
131001000000	市辖区	131000000000	4
131002000000	安次区	131000000000	4
131003000000	广阳区	131000000000	4
131022000000	固安县	131000000000	4
131023000000	永清县	131000000000	4
131024000000	香河县	131000000000	4
131025000000	大城县	131000000000	4
131026000000	文安县	131000000000	4
131028000000	大厂回族自治县	131000000000	4
131071000000	廊坊经济技术开发区	131000000000	4
131081000000	霸州市	131000000000	4
131082000000	三河市	131000000000	4
131101000000	市辖区	131100000000	4
131102000000	桃城区	131100000000	4
131103000000	冀州区	131100000000	4
